cups-filters,avahi;cups;ghostscript;glib;libjpeg-turbo;libpng;libtiff;little-cms;mupdf;openldap;php;poppler;qpdf;dejavu-fonts;
cups-pk-helper,cups;polkit;
curl,brotli;c-ares;gnutls;libidn2;libpsl;libssh2;mit-kerberos-v5;nghttp2;openldap;samba;stunnel;valgrind;
cyrus-sasl,berkeley-db;linux-pam;mariadb;mit-kerberos-v5;openjdk;openldap;postgresql;sqlite;
dash,
datefudge,
dblatex,
dbus,dbus-glib;doxygen;python-pygobject;python-dbus;systemd;valgrind;xmlto;xorg-libraries;
dbus-glib,dbus;glib;gtk-doc;
dconf,dbus;glib;gtk-doc;libxslt;vala;
dconf-editor,dconf;gtk+3;gtk-doc;libxml2;
dejagnu,
desktop-file-utils,emacs;glib;
dhcp,
dhcpcd,clang;llvm;ntp;
diffutils,
discover,
dmalloc,
docbook-dsssl,docbook-dtd31;docbook-dtd45;openjade;opensp;sgml-common;
docbook-dtd31,sgml-common;unzip;
docbook-dtd45,sgml-common;unzip;
docbook-utils,docbook-dsssl;docbook-dtd31;openjade;
docbook-xml45,libxml2;sgml-common;unzip;
docbook-xml50,libxml2;sgml-common;unzip;
docbook-xml51,libxml2;sgml-common;unzip;
docbook-xsl,
dolphin,kde-frameworks;
dolphin-plugins,kde-frameworks;
dosfstools,
dotnet,glibc;
double-conversion,cmake;
dovecot,clucene;icu;libcap;libtirpc;linux-pam;lua;mariadb;openldap;postgresql;sqlite;valgrind;xfsprogs;
doxygen,clang;cmake;ghostscript;git;graphviz;libxml2;llvm;python2;qt;texlive;xapian;
drkonqi,
dvd+rw-tools,
dvisvgm,asciidoc;brotli;ghostscript;libxslt;potrace;woff2;xmlto;
e2fsprogs,
ed,libarchive;
emacs,alsa-lib;dbus;gconf;giflib;gnutls;gobject-introspection;gpm;gsettings-desktop-schemas;gtk+2;gtk+3;imagemagick;jansson;libjpeg-turbo;libpng;librsvg;libtiff;libxml2;mit-kerberos-v5;valgrind;xorg;
enchant,aspell;dbus-glib;doxygen;glib;
encodings,
enscript,texlive;
eog,adwaita-icon-theme;exempi;gnome-desktop;gobject-introspection;gtk-doc;itstool;libexif;libjpeg-turbo;libpeas;librsvg;little-cms;shared-mime-info;libportal;
